case,event,timestamp,lifecycle,apploc:joinpoint,apprun:nanotime,apploc:app,apploc:linenr,apploc:etype,apprun:threadid,apploc:filename,apploc:node,apploc:regionstr,apploc:tier
,org.junit.internal.RealSystem.out(),53:29.1,start,org.junit.internal.RealSystem.out(),4.84236E+12,junit-4.12,16,return,1,RealSystem.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.RealSystem.out(),53:29.1,complete,org.junit.internal.RealSystem.out(),4.84236E+12,junit-4.12,16,call,1,RealSystem.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.RealSystem.out(),53:29.1,complete,org.junit.internal.RealSystem.out(),4.84236E+12,junit-4.12,16,return,1,RealSystem.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener),53:29.1,start,org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener),4.84236E+12,junit-4.12,152,call,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener),53:29.1,start,org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener),4.84236E+12,junit-4.12,29,call,1,RunNotifier.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener),53:29.1,start,org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener),4.84236E+12,junit-4.12,50,call,1,RunNotifier.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener),53:29.1,complete,org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener),4.84236E+12,junit-4.12,152,call,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener),53:29.1,complete,org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener),4.84236E+12,junit-4.12,29,call,1,RunNotifier.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener),53:29.1,complete,org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener),4.84236E+12,junit-4.12,50,call,1,RunNotifier.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener),53:29.1,start,org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener),4.84237E+12,junit-4.12,50,return,1,RunNotifier.java,CalculatorTest,,hamcrest-core-1.3
